,Column Name,Classes,Count,Percentage,Y Mean
53,Condition1,RRAn,26,1.78,225875.0
54,Condition1,PosN,19,1.3,215184.21
55,Condition1,RRAe,11,0.75,138400.0
56,Condition1,PosA,8,0.55,184396.62
57,Condition1,RRNn,5,0.34,190750.0
58,Condition1,RRNe,2,0.14,212400.0
59,Condition2,Norm,1445,98.97,106500.0
60,Condition2,Feedr,6,0.41,121166.67
61,Condition2,Artery,2,0.14,181169.41
62,Condition2,RRNn,2,0.14,325000.0
63,Condition2,PosN,2,0.14,284875.0
64,Condition2,PosA,1,0.07,190000.0
65,Condition2,RRAn,1,0.07,136905.0
66,Condition2,RRAe,1,0.07,96750.0
67,BldgType,1Fam,1220,83.56,185763.81
68,BldgType,TwnhsE,114,7.81,128432.26
69,BldgType,Duplex,52,3.56,133541.08
70,BldgType,Twnhs,43,2.95,135911.63
71,BldgType,2fmCon,31,2.12,181959.34
72,HouseStyle,1Story,726,49.73,143116.74
73,HouseStyle,2Story,445,30.48,110150.0
74,HouseStyle,1.5Fin,154,10.55,175985.48
75,HouseStyle,SLvl,65,4.45,220000.0
76,HouseStyle,SFoyer,37,2.53,157354.55
77,HouseStyle,1.5Unf,14,0.96,210051.76
78,HouseStyle,2.5Unf,11,0.75,135074.49
79,HouseStyle,2.5Fin,8,0.55,166703.38
80,RoofStyle,Gable,1141,78.15,194690.0
81,RoofStyle,Hip,286,19.59,171483.96
82,RoofStyle,Flat,13,0.89,148909.09
83,RoofStyle,Gambrel,11,0.75,218876.93
84,RoofStyle,Mansard,7,0.48,180568.43
85,RoofStyle,Shed,2,0.14,225000.0
86,RoofMatl,CompShg,1434,98.22,160000.0
87,RoofMatl,Tar&Grv,11,0.75,179803.68
88,RoofMatl,WdShngl,6,0.41,241500.0
89,RoofMatl,WdShake,5,0.34,180000.0
90,RoofMatl,Metal,1,0.07,137000.0
91,RoofMatl,Membran,1,0.07,185406.36
92,RoofMatl,Roll,1,0.07,241400.0
93,RoofMatl,ClyTile,1,0.07,390250.0
94,Exterior1st,VinylSd,515,35.27,107385.55
95,Exterior1st,HdBoard,222,15.21,100000.0
96,Exterior1st,MetalSd,220,15.07,71000.0
97,Exterior1st,Wd Sdng,206,14.11,194573.0
98,Exterior1st,Plywood,108,7.4,105000.0
99,Exterior1st,CemntBd,61,4.18,231690.66
100,Exterior1st,BrkFace,50,3.42,163077.45
101,Exterior1st,WdShing,26,1.78,262000.0
102,Exterior1st,Stucco,25,1.71,149422.18
103,Exterior1st,AsbShng,20,1.37,175942.38
104,Exterior1st,BrkComm,2,0.14,258500.0
105,Exterior1st,Stone,2,0.14,162990.0
106,Exterior1st,AsphShn,1,0.07,213732.9
107,Exterior1st,ImStucc,1,0.07,149841.65
108,Exterior1st,CBlock,1,0.07,150655.08
109,Exterior2nd,VinylSd,504,34.52,114060.55
110,Exterior2nd,MetalSd,214,14.66,138000.0
111,Exterior2nd,HdBoard,207,14.18,126714.29
112,Exterior2nd,Wd Sdng,197,13.49,195818.0
113,Exterior2nd,Plywood,142,9.73,105000.0
114,Exterior2nd,CmentBd,60,4.11,230093.83
115,Exterior2nd,Wd Shng,38,2.6,167661.57
116,Exterior2nd,Stucco,26,1.78,252070.0
117,Exterior2nd,BrkFace,25,1.71,149803.17
118,Exterior2nd,AsbShng,20,1.37,319000.0
119,Exterior2nd,ImStucc,10,0.68,168112.39
120,Exterior2nd,Brk Cmn,7,0.48,158224.8
121,Exterior2nd,Stone,5,0.34,155905.15
122,Exterior2nd,AsphShn,3,0.21,214432.46
123,Exterior2nd,Other,1,0.07,148386.07
124,Exterior2nd,CBlock,1,0.07,161328.95
125,ExterQual,TA,906,62.05,367360.96
126,ExterQual,Gd,488,33.42,87985.21
127,ExterQual,Ex,52,3.56,231633.51
128,ExterQual,Fa,14,0.96,144341.31
129,ExterCond,TA,1282,87.81,201333.33
130,ExterCond,Gd,146,10.0,102595.14
131,ExterCond,Fa,28,1.92,168897.57
132,ExterCond,Ex,3,0.21,76500.0
133,ExterCond,Po,1,0.07,184034.9
134,Foundation,PConc,647,44.32,132291.08
135,Foundation,CBlock,634,43.42,149805.71
136,Foundation,BrkTil,146,10.0,225230.44
137,Foundation,Slab,24,1.64,107365.62
138,Foundation,Stone,6,0.41,165959.17
139,Foundation,Wood,3,0.21,185666.67
140,BsmtQual,TA,686,46.99,327041.04
141,BsmtQual,Gd,618,42.33,115692.03
142,BsmtQual,Ex,121,8.29,202688.48
143,BsmtQual,Fa,35,2.4,138866.3
144,BsmtCond,TA,1348,92.33,121809.53
145,BsmtCond,Gd,65,4.45,213599.91
146,BsmtCond,Fa,45,3.08,64000.0
147,BsmtCond,Po,2,0.14,181492.23
148,BsmtExposure,No,991,67.88,206643.42
149,BsmtExposure,Av,221,15.14,257689.81
150,BsmtExposure,Gd,134,9.18,192789.66
151,BsmtExposure,Mn,114,7.81,163439.25
152,BsmtFinType1,Unf,467,31.99,161573.07
153,BsmtFinType1,GLQ,418,28.63,149493.66
154,BsmtFinType1,ALQ,220,15.07,235413.72
155,BsmtFinType1,BLQ,148,10.14,151852.7
156,BsmtFinType1,Rec,133,9.11,146889.25
157,BsmtFinType1,LwQ,74,5.07,165519.28
158,BsmtFinType2,Unf,1294,88.63,209942.11
159,BsmtFinType2,Rec,54,3.7,151101.0
160,BsmtFinType2,LwQ,46,3.15,180982.14
161,BsmtFinType2,BLQ,33,2.26,164364.13
162,BsmtFinType2,ALQ,19,1.3,164917.13
163,BsmtFinType2,GLQ,14,0.96,182511.35
164,Heating,GasA,1428,97.81,72500.0
165,Heating,GasW,18,1.23,182021.2
166,Heating,Grav,7,0.48,166632.17
167,Heating,Wall,4,0.27,75271.43
168,Heating,OthW,2,0.14,125750.0
169,Heating,Floor,1,0.07,92100.0
170,HeatingQC,Ex,741,50.75,214914.43
171,HeatingQC,TA,428,29.32,123919.49
172,HeatingQC,Gd,241,16.51,156858.87
173,HeatingQC,Fa,49,3.36,87000.0
174,HeatingQC,Po,1,0.07,142362.88
175,CentralAir,Y,1365,93.49,105264.07
176,CentralAir,N,95,6.51,186186.71
177,Electrical,SBrkr,1335,91.44,122196.89
178,Electrical,FuseA,94,6.44,107675.44
179,Electrical,FuseF,27,1.85,97333.33
180,Electrical,FuseP,3,0.21,67000.0
181,Electrical,Mix,1,0.07,186810.64
182,KitchenQual,TA,735,50.34,328554.67
183,KitchenQual,Gd,586,40.14,105565.21
184,KitchenQual,Ex,100,6.85,212116.02
185,KitchenQual,Fa,39,2.67,139962.51
186,Functional,Typ,1360,93.15,153948.14
187,Functional,Min2,34,2.33,85800.0
188,Functional,Min1,31,2.12,146385.48
189,Functional,Mod,15,1.03,144240.65
190,Functional,Maj1,14,0.96,168393.33
191,Functional,Maj2,5,0.34,129000.0
192,Functional,Sev,1,0.07,183429.15
193,GarageType,Attchd,951,65.14,151283.33
194,GarageType,Detchd,387,26.51,194411.47
195,GarageType,BuiltIn,88,6.03,160570.68
196,GarageType,Basment,19,1.3,254751.74
197,GarageType,CarPort,9,0.62,109962.11
198,GarageType,2Types,6,0.41,134091.16
199,GarageFinish,Unf,686,46.99,240052.69
200,GarageFinish,RFn,422,28.9,202068.87
201,GarageFinish,Fin,352,24.11,137570.46
202,GarageQual,TA,1392,95.34,241000.0
203,GarageQual,Fa,48,3.29,123573.35
204,GarageQual,Gd,14,0.96,215860.71
205,GarageQual,Ex,3,0.21,100166.67
206,GarageQual,Po,3,0.21,182591.86
207,GarageCond,TA,1407,96.37,124000.0
208,GarageCond,Fa,35,2.4,114654.03
209,GarageCond,Gd,9,0.62,179930.0
210,GarageCond,Po,7,0.48,108500.0
211,GarageCond,Ex,2,0.14,183017.19
212,PavedDrive,Y,1340,91.78,115039.12
213,PavedDrive,N,90,6.16,132330.0
214,PavedDrive,P,30,2.05,186433.97
215,SaleType,WD,1267,86.78,143973.26
216,SaleType,New,122,8.36,210600.0
217,SaleType,COD,43,2.95,269600.0
218,SaleType,ConLD,9,0.62,138780.89
219,SaleType,ConLI,5,0.34,200390.0
220,SaleType,ConLw,5,0.34,143700.0
221,SaleType,CWD,4,0.27,274945.42
222,SaleType,Oth,3,0.21,119850.0
223,SaleType,Con,2,0.14,173401.84
224,SaleCondition,Normal,1198,82.05,146526.62
225,SaleCondition,Partial,125,8.56,104125.0
226,SaleCondition,Abnorml,101,6.92,167377.42
227,SaleCondition,Family,20,1.37,149600.0
228,SaleCondition,Alloca,12,0.82,175202.22
229,SaleCondition,AdjLand,4,0.27,272291.75
